GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",2587,275,2509,282,1205,190,887,169,0,11,374,160,0,11,0,11,43,36,0,11,43,36,78,64,78,64,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",3237,309,3196,307,1975,258,646,210,0,11,522,193,0,11,0,11,53,41,0,11,53,41,41,33,33,32,0,11,0,11,0,11,0,11,8,13,0,11,0,11,0,11
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",1746,233,1715,229,591,203,989,174,0,11,32,21,0,11,27,42,76,100,0,11,76,100,31,26,15,13,16,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",4319,501,4129,498,2222,442,1115,180,26,26,647,176,6,12,34,36,79,43,0,11,79,43,190,80,98,49,0,11,6,13,0,11,0,11,32,31,54,53,14,22,40,50
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",1370,232,1370,232,169,117,1126,210,0,11,3,6,0,11,0,11,72,75,0,11,72,75,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",1779,280,1770,279,220,74,1503,281,0,11,47,38,0,11,0,11,0,11,0,11,0,11,9,19,0,11,0,11,0,11,0,11,0,11,0,11,9,19,0,11,9,19
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",2508,331,2470,319,35,42,2408,325,0,11,0,11,0,11,5,7,22,25,0,11,22,25,38,52,0,11,38,52,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",3650,454,3526,456,943,194,2531,469,0,11,23,32,0,11,13,19,16,21,0,11,16,21,124,91,51,50,25,30,35,53,0,11,0,11,13,19,0,11,0,11,0,11
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",2210,198,2200,203,1437,161,640,125,6,10,39,44,0,11,29,41,49,42,0,11,49,42,10,15,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",2920,251,2863,258,1963,236,836,193,9,13,0,11,0,11,0,11,55,74,0,11,55,74,57,43,45,38,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",5304,690,4803,588,1136,296,3214,586,0,15,19,26,0,15,38,60,396,368,0,15,396,368,501,326,354,288,5,8,8,13,0,15,0,15,94,147,40,46,10,17,30,45
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",3382,517,3093,458,863,196,2029,401,0,11,70,66,0,11,18,30,113,78,0,11,113,78,289,312,68,79,0,11,0,11,0,11,0,11,221,268,0,11,0,11,0,11
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",2964,249,2901,234,2124,216,690,119,0,11,7,12,0,11,7,12,73,72,0,11,73,72,63,65,42,59,0,11,0,11,0,11,0,11,21,24,0,11,0,11,0,11
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",1943,194,1848,195,637,128,1143,162,0,11,5,7,0,11,0,11,63,51,0,11,63,51,95,131,7,10,0,11,0,11,0,11,0,11,0,11,88,130,0,11,88,130
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",2903,316,2868,308,1850,219,790,182,0,11,177,107,0,11,39,61,12,18,0,11,12,18,35,37,19,24,0,11,0,11,0,11,0,11,16,25,0,11,0,11,0,11
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",4185,463,4069,469,1805,317,2026,443,1,4,188,121,0,11,0,11,49,51,0,11,49,51,116,81,78,65,0,11,0,11,0,11,0,11,37,46,1,3,0,11,1,3
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",3752,484,3752,484,38,40,3707,484,0,11,0,11,0,11,0,11,7,10,0,11,7,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
